model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,game_condition,role,eta,gamma,beta_ct,beta
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_193142_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.745,,,,,,0.745
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_193142_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_193142_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_193142_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.8533,,,,,,0.8533
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_193142_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.625,,,,,,0.625
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260608_193142_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.7,0.57,,,,,,0.57
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_193142_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260608_193142_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_193142_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,6.0,0.6722,,,,,,0.6722
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260608_193142_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.1756,,,,,,0.1756
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_193543_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.625,,,,,,0.625
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_193543_1,ai,CD,Claude Opus vs GPT-4o,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_193543_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,5.9,0.44,,,,,,0.44
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_193543_2,ai,CD,Claude Opus vs Gemini 2.5 Flash,,,partial,probabilistic,6.3,0.54,,,,,,0.54
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_193543_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_193543_3,ai,CD,GPT-4o vs Gemini 2.5 Flash,,,partial,probabilistic,5.0,0.8462,,,,,,0.8462
Claude Opus,cd_cd_ai_partial_probabilistic_20260608_193543_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,5.0,0.5875,,,,,,0.5875
Claude Sonnet,cd_cd_ai_partial_probabilistic_20260608_193543_4,ai,CD,Claude Opus vs Claude Sonnet,,,partial,probabilistic,4.7917,0.6125,,,,,,0.6125
GPT-4o,cd_cd_ai_partial_probabilistic_20260608_193543_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
GPT-4o-mini,cd_cd_ai_partial_probabilistic_20260608_193543_5,ai,CD,GPT-4o vs GPT-4o-mini,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_ai_partial_probabilistic_20260608_193543_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5917,,,,,,0.5917
Gemini 2.5 Flash Lite,cd_cd_ai_partial_probabilistic_20260608_193543_6,ai,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,partial,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_human_full_deterministic_20260603_192635_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.0,0.5675,,,,,,0.5675
GPT-4o,cd_cd_human_full_deterministic_20260603_192635_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.15,0.7125,,,,,,0.7125
Claude Opus,cd_cd_human_full_deterministic_20260603_192635_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.65,0.395,,,,,,0.395
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_192635_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.57,,,,,,0.57
GPT-4o,cd_cd_human_full_deterministic_20260603_192635_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,3.1,0.1175,,,,,,0.1175
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_192635_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,5.175,0.815,,,,,,0.815
Claude Opus,cd_cd_human_full_deterministic_20260603_192635_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.675,0.7425,,,,,,0.7425
Claude Sonnet,cd_cd_human_full_deterministic_20260603_192635_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.6425,,,,,,0.6425
GPT-4o,cd_cd_human_full_deterministic_20260603_192635_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,4.0,0.23,,,,,,0.23
GPT-4o-mini,cd_cd_human_full_deterministic_20260603_192635_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,5.0,0.7475,,,,,,0.7475
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_192635_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,3.75,0.5633,,,,,,0.5633
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260603_192635_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.3333,0.4583,,,,,,0.4583
Claude Opus,cd_cd_human_full_deterministic_20260603_193028_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.65,0.685,,,,,,0.685
GPT-4o,cd_cd_human_full_deterministic_20260603_193028_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.725,0.705,,,,,,0.705
Claude Opus,cd_cd_human_full_deterministic_20260603_193028_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,2.5,0.3225,,,,,,0.3225
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_193028_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,2.25,0.6875,,,,,,0.6875
GPT-4o,cd_cd_human_full_deterministic_20260603_193028_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,1.75,0.16,,,,,,0.16
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_193028_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,5.0,0.37,,,,,,0.37
Claude Opus,cd_cd_human_full_deterministic_20260603_193028_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.675,0.7425,,,,,,0.7425
Claude Sonnet,cd_cd_human_full_deterministic_20260603_193028_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.645,,,,,,0.645
GPT-4o,cd_cd_human_full_deterministic_20260603_193028_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,3.7,0.3175,,,,,,0.3175
GPT-4o-mini,cd_cd_human_full_deterministic_20260603_193028_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,3.55,0.8725,,,,,,0.8725
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_193028_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.95,0.56,,,,,,0.56
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260603_193028_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.49,,,,,,0.49
Claude Opus,cd_cd_human_full_deterministic_20260603_193447_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.025,0.5575,,,,,,0.5575
GPT-4o,cd_cd_human_full_deterministic_20260603_193447_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.225,0.51,,,,,,0.51
Claude Opus,cd_cd_human_full_deterministic_20260603_193447_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.65,0.395,,,,,,0.395
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_193447_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.475,,,,,,0.475
GPT-4o,cd_cd_human_full_deterministic_20260603_193447_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,2.25,0.675,,,,,,0.675
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_193447_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,2.575,0.3925,,,,,,0.3925
Claude Opus,cd_cd_human_full_deterministic_20260603_193447_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.675,0.745,,,,,,0.745
Claude Sonnet,cd_cd_human_full_deterministic_20260603_193447_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.62,,,,,,0.62
GPT-4o,cd_cd_human_full_deterministic_20260603_193447_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,3.675,0.25,,,,,,0.25
GPT-4o-mini,cd_cd_human_full_deterministic_20260603_193447_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,5.05,0.7625,,,,,,0.7625
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_193447_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.925,0.856,,,,,,0.856
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260603_193447_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,2.875,0.6745,,,,,,0.6745
Claude Opus,cd_cd_human_full_deterministic_20260603_200724_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.45,0.7325,,,,,,0.7325
GPT-4o,cd_cd_human_full_deterministic_20260603_200724_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.45,0.575,,,,,,0.575
Claude Opus,cd_cd_human_full_deterministic_20260603_200724_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,5.9167,0.375,,,,,,0.375
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_200724_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,6.25,0.575,,,,,,0.575
GPT-4o,cd_cd_human_full_deterministic_20260603_200724_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,3.0,0.605,,,,,,0.605
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_200724_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,3.425,0.725,,,,,,0.725
Claude Opus,cd_cd_human_full_deterministic_20260603_200724_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.675,0.7425,,,,,,0.7425
Claude Sonnet,cd_cd_human_full_deterministic_20260603_200724_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.645,,,,,,0.645
GPT-4o,cd_cd_human_full_deterministic_20260603_200724_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,3.35,0.3225,,,,,,0.3225
GPT-4o-mini,cd_cd_human_full_deterministic_20260603_200724_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,2.45,0.845,,,,,,0.845
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_200724_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.82,,,,,,0.82
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260603_200724_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.5,,,,,,0.5
Claude Opus,cd_cd_human_full_deterministic_20260603_201133_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.45,0.5525,,,,,,0.5525
GPT-4o,cd_cd_human_full_deterministic_20260603_201133_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.35,0.49,,,,,,0.49
Claude Opus,cd_cd_human_full_deterministic_20260603_201133_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.65,0.395,,,,,,0.395
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_201133_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.465,,,,,,0.465
GPT-4o,cd_cd_human_full_deterministic_20260603_201133_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,3.325,0.33,,,,,,0.33
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_201133_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,4.25,0.66,,,,,,0.66
Claude Opus,cd_cd_human_full_deterministic_20260603_201133_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.675,0.7425,,,,,,0.7425
Claude Sonnet,cd_cd_human_full_deterministic_20260603_201133_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.6225,,,,,,0.6225
GPT-4o,cd_cd_human_full_deterministic_20260603_201133_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,3.7,0.5875,,,,,,0.5875
GPT-4o-mini,cd_cd_human_full_deterministic_20260603_201133_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,3.325,0.8225,,,,,,0.8225
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260603_201133_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.5,0.623,,,,,,0.623
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260603_201133_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,3.4,0.385,,,,,,0.385
Claude Opus,cd_cd_human_full_deterministic_20260608_141532_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.0,0.56,,,,,,0.56
GPT-4o,cd_cd_human_full_deterministic_20260608_141532_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.15,0.575,,,,,,0.575
Claude Opus,cd_cd_human_full_deterministic_20260608_141532_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.65,0.395,,,,,,0.395
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_141532_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.62,,,,,,0.62
GPT-4o,cd_cd_human_full_deterministic_20260608_141532_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_141532_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.825,,,,,,0.825
Claude Opus,cd_cd_human_full_deterministic_20260608_141532_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.7,0.755,,,,,,0.755
Claude Sonnet,cd_cd_human_full_deterministic_20260608_141532_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.6375,,,,,,0.6375
GPT-4o,cd_cd_human_full_deterministic_20260608_141532_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,2.675,0.14,,,,,,0.14
GPT-4o-mini,cd_cd_human_full_deterministic_20260608_141532_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,5.05,0.785,,,,,,0.785
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_141532_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.765,,,,,,0.765
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260608_141532_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.5,,,,,,0.5
Claude Opus,cd_cd_human_full_deterministic_20260608_141948_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.7,0.735,,,,,,0.735
GPT-4o,cd_cd_human_full_deterministic_20260608_141948_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.7,0.585,,,,,,0.585
Claude Opus,cd_cd_human_full_deterministic_20260608_141948_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.65,0.39,,,,,,0.39
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_141948_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.675,,,,,,0.675
GPT-4o,cd_cd_human_full_deterministic_20260608_141948_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,3.4688,0.375,,,,,,0.375
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_141948_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,4.6562,0.5531,,,,,,0.5531
Claude Opus,cd_cd_human_full_deterministic_20260608_141948_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.7,0.755,,,,,,0.755
Claude Sonnet,cd_cd_human_full_deterministic_20260608_141948_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.6175,,,,,,0.6175
GPT-4o,cd_cd_human_full_deterministic_20260608_141948_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,2.375,0.15,,,,,,0.15
GPT-4o-mini,cd_cd_human_full_deterministic_20260608_141948_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,5.05,0.805,,,,,,0.805
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_141948_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,7.5,0.2635,,,,,,0.2635
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260608_141948_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,1.375,0.099,,,,,,0.099
Claude Opus,cd_cd_human_full_deterministic_20260608_142439_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.725,0.6625,,,,,,0.6625
GPT-4o,cd_cd_human_full_deterministic_20260608_142439_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.875,0.655,,,,,,0.655
Claude Opus,cd_cd_human_full_deterministic_20260608_142439_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.0,0.5675,,,,,,0.5675
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_142439_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.15,0.4625,,,,,,0.4625
GPT-4o,cd_cd_human_full_deterministic_20260608_142439_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,3.075,0.24,,,,,,0.24
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_142439_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,4.5,0.635,,,,,,0.635
Claude Opus,cd_cd_human_full_deterministic_20260608_142439_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.4,0.7325,,,,,,0.7325
Claude Sonnet,cd_cd_human_full_deterministic_20260608_142439_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.375,0.695,,,,,,0.695
GPT-4o,cd_cd_human_full_deterministic_20260608_142439_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,3.8571,0.2929,,,,,,0.2929
GPT-4o-mini,cd_cd_human_full_deterministic_20260608_142439_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,7.2857,0.7286,,,,,,0.7286
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_142439_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.5,,,,,,0.5
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260608_142439_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_human_full_deterministic_20260608_143105_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.0,0.4875,,,,,,0.4875
GPT-4o,cd_cd_human_full_deterministic_20260608_143105_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,4.125,0.64,,,,,,0.64
Claude Opus,cd_cd_human_full_deterministic_20260608_143105_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,3.7,0.69,,,,,,0.69
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_143105_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,3.85,0.845,,,,,,0.845
GPT-4o,cd_cd_human_full_deterministic_20260608_143105_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,2.375,0.1625,,,,,,0.1625
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_143105_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,5.0,0.705,,,,,,0.705
Claude Opus,cd_cd_human_full_deterministic_20260608_143105_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.675,0.7425,,,,,,0.7425
Claude Sonnet,cd_cd_human_full_deterministic_20260608_143105_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.6425,,,,,,0.6425
GPT-4o,cd_cd_human_full_deterministic_20260608_143105_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,4.375,0.2417,,,,,,0.2417
GPT-4o-mini,cd_cd_human_full_deterministic_20260608_143105_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,4.5417,0.7083,,,,,,0.7083
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_143105_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.5,,,,,,0.5
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260608_143105_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.5,,,,,,0.5
Claude Opus,cd_cd_human_full_deterministic_20260608_143544_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.125,0.8215,,,,,,0.8215
GPT-4o,cd_cd_human_full_deterministic_20260608_143544_1,human,CD,Claude Opus vs GPT-4o,,,full,deterministic,3.175,0.55,,,,,,0.55
Claude Opus,cd_cd_human_full_deterministic_20260608_143544_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.0,0.4775,,,,,,0.4775
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_143544_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,deterministic,4.3,0.83,,,,,,0.83
GPT-4o,cd_cd_human_full_deterministic_20260608_143544_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_143544_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,deterministic,4.85,0.74,,,,,,0.74
Claude Opus,cd_cd_human_full_deterministic_20260608_143544_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.675,0.7425,,,,,,0.7425
Claude Sonnet,cd_cd_human_full_deterministic_20260608_143544_4,human,CD,Claude Opus vs Claude Sonnet,,,full,deterministic,3.525,0.64,,,,,,0.64
GPT-4o,cd_cd_human_full_deterministic_20260608_143544_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,2.675,0.18,,,,,,0.18
GPT-4o-mini,cd_cd_human_full_deterministic_20260608_143544_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,deterministic,5.05,0.7625,,,,,,0.7625
Gemini 2.5 Flash,cd_cd_human_full_deterministic_20260608_143544_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.77,,,,,,0.77
Gemini 2.5 Flash Lite,cd_cd_human_full_deterministic_20260608_143544_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,deterministic,4.85,0.5,,,,,,0.5
Claude Opus,cd_cd_human_full_probabilistic_20260603_205846_1,human,CD,Claude Opus vs GPT-4o,,,full,probabilistic,3.7,0.715,,,,,,0.715
GPT-4o,cd_cd_human_full_probabilistic_20260603_205846_1,human,CD,Claude Opus vs GPT-4o,,,full,probabilistic,3.775,0.645,,,,,,0.645
Claude Opus,cd_cd_human_full_probabilistic_20260603_205846_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,probabilistic,4.8182,0.3909,,,,,,0.3909
Gemini 2.5 Flash,cd_cd_human_full_probabilistic_20260603_205846_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,probabilistic,5.0,0.4727,,,,,,0.4727
GPT-4o,cd_cd_human_full_probabilistic_20260603_205846_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,probabilistic,5.0,0.5,,,,,,0.5
Gemini 2.5 Flash,cd_cd_human_full_probabilistic_20260603_205846_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,probabilistic,5.0,0.8375,,,,,,0.8375
Claude Opus,cd_cd_human_full_probabilistic_20260603_205846_4,human,CD,Claude Opus vs Claude Sonnet,,,full,probabilistic,3.675,0.745,,,,,,0.745
Claude Sonnet,cd_cd_human_full_probabilistic_20260603_205846_4,human,CD,Claude Opus vs Claude Sonnet,,,full,probabilistic,3.525,0.62,,,,,,0.62
GPT-4o,cd_cd_human_full_probabilistic_20260603_205846_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,probabilistic,3.2,0.223,,,,,,0.223
GPT-4o-mini,cd_cd_human_full_probabilistic_20260603_205846_5,human,CD,GPT-4o vs GPT-4o-mini,,,full,probabilistic,8.05,0.53,,,,,,0.53
Gemini 2.5 Flash,cd_cd_human_full_probabilistic_20260603_205846_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,probabilistic,5.0,0.6778,,,,,,0.6778
Gemini 2.5 Flash Lite,cd_cd_human_full_probabilistic_20260603_205846_6,human,CD,Gemini 2.5 Flash vs Gemini 2.5 Flash Lite,,,full,probabilistic,5.0,0.5,,,,,,0.5
Claude Opus,cd_cd_human_full_probabilistic_20260603_210234_1,human,CD,Claude Opus vs GPT-4o,,,full,probabilistic,3.3889,0.7639,,,,,,0.7639
GPT-4o,cd_cd_human_full_probabilistic_20260603_210234_1,human,CD,Claude Opus vs GPT-4o,,,full,probabilistic,3.3056,0.6333,,,,,,0.6333
Claude Opus,cd_cd_human_full_probabilistic_20260603_210234_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,probabilistic,4.8333,0.3611,,,,,,0.3611
Gemini 2.5 Flash,cd_cd_human_full_probabilistic_20260603_210234_2,human,CD,Claude Opus vs Gemini 2.5 Flash,,,full,probabilistic,5.0556,0.5194,,,,,,0.5194
GPT-4o,cd_cd_human_full_probabilistic_20260603_210234_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,probabilistic,3.9167,0.2167,,,,,,0.2167
Gemini 2.5 Flash,cd_cd_human_full_probabilistic_20260603_210234_3,human,CD,GPT-4o vs Gemini 2.5 Flash,,,full,probabilistic,5.5833,0.625,,,,,,0.625
