model,game_id,condition,source,matchup,rho,beta_pd,info_condition,risk_condition,theta,beta_cd,role,eta_pooled,eta_aligned,eta_misaligned,delta_eta,gamma_mis,beta_ct
Claude Opus,ct_cheap_talk_results_20260511_101447_1,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_1,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_10,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.5,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_10,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.5,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_11,,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_11,,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_12,,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,sender,0.7,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_12,,CT,Gemini 2.5 Flash (S) vs GPT-4o (R),,,,,,,receiver,0.7,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_13,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_13,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_14,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,sender,0.4,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_14,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,receiver,0.4,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_15,,CT,GPT-4o-mini (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_15,,CT,GPT-4o-mini (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_16,,CT,GPT-4o-mini (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_16,,CT,GPT-4o-mini (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_17,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_17,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_18,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.7,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_18,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.7,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_19,,CT,Gemini 2.5 Flash Lite (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_19,,CT,Gemini 2.5 Flash Lite (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_2,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.5,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_2,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.5,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_20,,CT,Gemini 2.5 Flash Lite (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_20,,CT,Gemini 2.5 Flash Lite (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_21,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_21,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_22,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_22,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_23,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_23,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_24,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o-mini (R),,,,,,,sender,0.9,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_24,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o-mini (R),,,,,,,receiver,0.9,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_25,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_25,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_26,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.4,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_26,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.4,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_27,,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_27,,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_28,,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,sender,0.4,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_28,,CT,Claude Sonnet (S) vs Claude Opus (R),,,,,,,receiver,0.4,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_29,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_29,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_3,,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_3,,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_30,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.6,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_30,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.6,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_31,,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_31,,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_32,,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_32,,CT,GPT-4o-mini (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_33,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_33,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_34,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.7,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_34,,CT,Gemini 2.5 Flash (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.7,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_35,,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_35,,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_36,,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_36,,CT,Gemini 2.5 Flash Lite (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_37,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_37,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_38,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,sender,0.7,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_38,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,receiver,0.7,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_39,,CT,GPT-4o-mini (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_39,,CT,GPT-4o-mini (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_4,,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,sender,0.5,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_4,,CT,GPT-4o (S) vs Claude Opus (R),,,,,,,receiver,0.5,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_40,,CT,GPT-4o-mini (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_40,,CT,GPT-4o-mini (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_41,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.9,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_41,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.9,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_42,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.6,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_42,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.6,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_43,,CT,Gemini 2.5 Flash Lite (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_43,,CT,Gemini 2.5 Flash Lite (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_44,,CT,Gemini 2.5 Flash Lite (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_44,,CT,Gemini 2.5 Flash Lite (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_45,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_45,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_46,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,sender,0.5,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_46,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,receiver,0.5,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_47,,CT,GPT-4o (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_47,,CT,GPT-4o (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_48,,CT,GPT-4o (S) vs Claude Sonnet (R),,,,,,,sender,0.7,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_48,,CT,GPT-4o (S) vs Claude Sonnet (R),,,,,,,receiver,0.7,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_49,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_49,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_5,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_5,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_50,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_50,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_51,,CT,Gemini 2.5 Flash (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_51,,CT,Gemini 2.5 Flash (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_52,,CT,Gemini 2.5 Flash (S) vs Claude Sonnet (R),,,,,,,sender,0.5,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_52,,CT,Gemini 2.5 Flash (S) vs Claude Sonnet (R),,,,,,,receiver,0.5,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_53,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_53,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_54,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.3,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_54,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.3,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_55,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_55,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_56,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_56,,CT,Gemini 2.5 Flash Lite (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_57,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_57,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_58,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_58,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_59,,CT,Gemini 2.5 Flash (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_59,,CT,Gemini 2.5 Flash (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_6,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.6,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_6,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.6,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_60,,CT,Gemini 2.5 Flash (S) vs GPT-4o-mini (R),,,,,,,sender,0.4,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_60,,CT,Gemini 2.5 Flash (S) vs GPT-4o-mini (R),,,,,,,receiver,0.4,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_61,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_61,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_62,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,sender,0.5,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_62,,CT,Claude Opus (S) vs GPT-4o (R),,,,,,,receiver,0.5,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_63,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_63,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_64,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.7,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_64,,CT,Claude Opus (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.7,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_65,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_65,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_66,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,sender,0.4,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_66,,CT,Claude Opus (S) vs Claude Sonnet (R),,,,,,,receiver,0.4,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_67,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,sender,0.9,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_67,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,receiver,0.9,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_68,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,sender,0.7,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_68,,CT,Claude Opus (S) vs GPT-4o-mini (R),,,,,,,receiver,0.7,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_69,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_69,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_7,,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_7,,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,1.0,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_70,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.5,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_70,,CT,Claude Opus (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.5,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_71,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,sender,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_71,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_72,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,sender,0.4,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_72,,CT,Claude Sonnet (S) vs GPT-4o (R),,,,,,,receiver,0.4,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_73,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_73,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_74,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.4,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_74,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.4,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_75,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_75,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_76,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_76,,CT,Claude Sonnet (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_77,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_77,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
Claude Sonnet,ct_cheap_talk_results_20260511_101447_78,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.7,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_78,,CT,Claude Sonnet (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.7,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_79,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_79,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_8,,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,sender,0.4,,,,,
Claude Opus,ct_cheap_talk_results_20260511_101447_8,,CT,Gemini 2.5 Flash (S) vs Claude Opus (R),,,,,,,receiver,0.4,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_80,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.7,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_80,,CT,GPT-4o (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.7,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_81,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_81,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_82,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,sender,0.9,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_82,,CT,GPT-4o (S) vs GPT-4o-mini (R),,,,,,,receiver,0.9,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_83,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_83,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o,ct_cheap_talk_results_20260511_101447_84,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,0.8,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_84,,CT,GPT-4o (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,0.8,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_85,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_85,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_86,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,sender,0.8,,,,,
Gemini 2.5 Flash,ct_cheap_talk_results_20260511_101447_86,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash (R),,,,,,,receiver,0.8,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_87,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
Gemini 2.5 Flash Lite,ct_cheap_talk_results_20260511_101447_87,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,receiver,1.0,,,,,
GPT-4o-mini,ct_cheap_talk_results_20260511_101447_88,,CT,GPT-4o-mini (S) vs Gemini 2.5 Flash Lite (R),,,,,,,sender,1.0,,,,,
